Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Swim Cadence,Max Swim Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Total Routes,Climb Time,Max Ascent,Sends,Total Ascent,Falls,Total Rest,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-03-24 07:31:54,false,"Amherst Running","2.35","151","00:14:02","166","190","2.9","156","163","5:58","4:59","21","14","1.09","9.3","10.2","284","5:48","272","0.0","268","371","--","--","--","2,196","--","--","--","--","--","--","--","--","--","'-3","No","00:04:14.7","2","--","--","--","--","--","--","--","--","00:13:54","00:14:02","47","59"
Yoga,2026-03-23 17:49:46,false,"Yoga","--","439","01:38:02","116","158","2.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","1","--","--","--","--","--","--","--","'-8","No","01:38:02","1","15","8","25","50","33","83","81","100","01:38:02","01:38:02","--","--"
Resort Snowboarding,2026-03-21 14:54:10,false,"Berkshire East Snowboard","13.19","814","02:24:33","130","172","3.1","--","--","8.6","31.7","2,472","2,489","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","'-9","No","00:10:48","9","--","--","--","--","--","--","--","--","01:57:35","02:24:33","173","478"
Yoga,2026-03-21 09:25:32,false,"Yoga","--","352","01:14:52","117","151","2.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","1","--","--","--","--","--","--","--","'-5","No","01:14:52","1","17","8","26","56","40","96","86","100","01:14:52","01:14:52","--","--"
Pilates,2026-03-20 14:31:33,false,"Pilates","0.00","300","00:54:19","120","148","2.1","10","197","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","6","3","1","--","--","--","--","--","--","--","'-5","No","00:54:19","1","--","--","--","--","--","--","--","--","00:54:19","00:54:19","--","--"
Yoga,2026-03-18 17:45:30,false,"Yoga","--","342","01:18:13","112","151","2.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","1","--","--","--","--","--","--","--","'-5","No","01:18:13","1","16","7","26","25","71","96","81","100","01:18:13","01:18:13","--","--"
Running,2026-03-18 08:03:49,false,"Amherst Running","2.05","129","00:12:16","160","179","2.7","156","167","6:00","5:17","21","13","1.06","9.3","9.9","279","5:52","274","0.0","268","344","--","--","--","1,934","--","--","--","--","--","--","--","--","--","'-4","No","00:02:29.4","2","--","--","--","--","--","--","--","--","00:12:04","00:12:48","49","66"
Yoga,2026-03-17 17:47:20,false,"Yoga","--","309","01:09:03","112","147","2.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","1","--","--","--","--","--","--","--","'-6","No","01:09:03","1","16","9","24","57","40","97","83","100","01:09:03","01:09:03","--","--"
Yoga,2026-03-16 17:45:46,false,"Yoga","--","363","01:10:55","122","161","2.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","1","--","--","--","--","--","--","--","'-7","No","01:10:55","1","16","9","25","16","82","98","86","100","01:10:55","01:10:55","--","--"
Pilates,2026-03-15 11:02:19,false,"Pilates","0.00","300","01:02:32","112","150","1.9","7","158","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","24","12","2","--","--","--","--","--","--","--","'-5","No","01:02:32","1","--","--","--","--","--","--","--","--","01:02:32","01:02:32","--","--"
